token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
不必,0,37,0.37397498549083896,276,0.013815222698802143,0.02159167538304085,0.999999506567968,276,4.905845637894628e-7,0.9999990159834042,1.2812412588969506e-6,3,bùbì,need not; does not have to; not necessarily,Translation,要不 | 要不然 | 非得 | 不要 | 不然 | 免得 | 怕 | 别 | 想 | 何必 | 不用 | 干吗,0.0
动感,31,24,0.41355811070108534,356,0.03342299667814014,0.0539198096782938,1.0,356,3.069716982741412e-20,1.0,2.305915414066423e-19,7-9,dònggǎn,sense of movement (often in a static work of art); dynamic; vivid; lifelike,Translation,生动 | 引人入胜 | 细腻 | 新颖 | 精妙 | 逼真 | 动人 | 流畅 | 扣人心弦 | 优美 | 酣畅 | 感人,0.5
清新,31,24,0.4087853688419742,86,-0.018338955289554704,-0.03101911610954843,0.9999999999999858,170,9.341150781446393e-15,0.9999999999999765,5.798519438625059e-14,7-9,qīngxīn,"Qingxin county in Qingyuan 清远, Guangdong; fresh and clean",Translation,文雅 | 稳重 | 沉稳 | 优雅 | 俊俏 | 得体 | 硬朗 | 简洁 | 活泼 | 英俊 | 高雅 | 大方,0.5
诱人,31,24,0.4052347379006588,236,0.005737101995814731,0.009553837484818913,1.0,356,6.52993152615323e-24,1.0,5.930044605860042e-23,7-9,yòurén,attractive; alluring; captivating,Translation,生动 | 引人入胜 | 细腻 | 新颖 | 精妙 | 逼真 | 动人 | 流畅 | 扣人心弦 | 优美 | 酣畅 | 感人,0.25
怀旧,31,24,0.39684415598438777,316,0.043662192937494015,0.06750305409411386,1.0,316,6.155159934140134e-23,1.0,5.253950904117518e-22,7-9,huáijiù,to feel nostalgic; nostalgia,Translation,迷恋 | 痴迷 | 想念 | 怀念 | 着迷 | 向往 | 喜欢 | 留恋 | 崇拜 | 执着 | 渴望 | 恨,0.25
神秘,31,24,0.3948748903617606,236,0.07956401912263955,0.1162045894705983,1.0,155,1.638843436683931e-24,1.0,3.738828964471445e-23,4,shénmì,mysterious; mystery,Translation,出人意料 | 意料之外 | 巧合 | 意外 | 离奇 | 意料 | 意想不到 | 耐人寻味 | 凑巧 | 偶然 | 顺理成章 | 微妙,0.25
完美,31,24,0.37316948764281277,356,0.024071875944965626,0.03698231313570064,1.0,174,1.2452504487777555e-18,1.0,8.571893378632445e-18,3,wánměi,perfect,Translation,出色 | 出众 | 雄厚 | 高超 | 过硬 | 优异 | 强大 | 深厚 | 丰富 | 卓越 | 独特 | 优良,0.5
与众不同,31,24,0.3623482897286912,170,0.020849011078133584,0.03166133369665622,0.9999999999208598,174,7.655825166267101e-11,0.9999999998443015,3.223285846834377e-10,7-9,yǔzhòng-bùtóng,to stand out from the masses (idiom),Translation,出色 | 出众 | 雄厚 | 高超 | 过硬 | 优异 | 强大 | 深厚 | 丰富 | 卓越 | 独特 | 优良,0.5
俗,32,35,0.32875118725271024,197,-0.010341896720199695,-0.015406949738759819,1.0,343,1.0277634264817324e-15,0.999999999999999,5.920260844770638e-15,7-9,sú,custom; convention; popular; common; coarse; vulgar; secular,Translation,乐曲 | 演奏 | 独唱 | 演唱 | 舞蹈 | 伴奏 | 歌曲 | 合唱 | 民歌 | 歌唱 | 歌剧 | 交响乐,0.5
命,32,35,0.3270431971515769,106,-0.038252268916388665,-0.0568420866755167,1.0,157,6.385368259585669e-15,0.9999999999999936,3.484260436706721e-14,6; 7-9,mìng,"life; fate; order or command; to assign a name, title etc",Translation,恩怨 | 心事 | 悲欢离合 | 事情 | 事 | 往事 | 难处 | 缘分 | 生死 | 交情 | 境遇 | 命运,0.5
识,32,35,0.32662553856269766,183,0.03562392267694742,0.050245421534285115,1.0,292,3.690412299786562e-21,1.0,2.9150812757877445e-20,6,shí,to know; knowledge; Taiwan pr. [shì]; to record; to write a footnote,Translation,审 | 辩 | 判 | 验 | 教 | 删 | 猜 | 查 | 念 | 裁 | 录 | 评,0.75
矣,32,35,0.32558753187451867,106,0.019593578923573274,0.028232576656768434,1.0,333,8.698848444569024e-17,0.9999999999999999,7.970041986054764e-16,7-9,yǐ,"classical final particle, similar to modern 了",Translation,弱 | 偏 | 少 | 差 | 淡 | 低 | 慢 | 略 | 高 | 暖 | 紧 | 强,1.0
妙,32,35,0.3221234922318527,31,0.018136423159270554,0.02605759512988413,0.999999999999929,40,7.015463944904213e-14,0.9999999999998588,3.6878539080750793e-13,6,miào,clever; wonderful; variant of 妙,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,0.75
玄,32,35,0.32189197274982495,359,0.041829596276473424,0.05810169507681675,0.9999999999921556,40,7.797995752401017e-12,0.9999999999843576,3.485933019041968e-11,7-9,xuán,black; mysterious,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,0.75
邪,32,35,0.32181922035915217,211,-0.012046097793923738,-0.017762369792171405,0.9999999993104183,211,5.350653747141484e-10,0.999999998775353,2.604644079438274e-9,7-9,xié,old variant of 邪; demonic; iniquitous; nefarious; evil; unhealthy influences that cause disease (Chinese medicine); (coll.) strange; abnormal,Translation,肺 | 脾 | 胃 | 痰 | 肝 | 咽 | 肠 | 肾 | 气管 | 肿 | 胀 | 腺,1.0
善,32,35,0.3203501355104316,22,-0.00384631769403021,-0.00565926353405349,1.0,238,2.890776151032423e-17,1.0,1.9519378821387177e-16,7-9,shàn,good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect,Translation,勇于 | 虚心 | 大公无私 | 诚心诚意 | 敢于 | 顾全大局 | 实事求是 | 全心全意 | 善于 | 以身作则 | 光明磊落 | 不耻下问,1.0
曰,32,35,0.3072342502838194,16,-0.02025009740223238,-0.0292308004697528,0.9999999910450015,162,8.953977238406179e-9,0.9999999820910243,2.919337077981321e-8,7-9,yuē,to speak; to say,Translation,句子 | 词 | 词语 | 题目 | 句 | 段落 | 文字 | 成语 | 诗 | 音节 | 结尾 | 错别字,0.75
敬,32,35,0.3029080818845652,279,-0.04331008312180068,-0.06212965893922285,1.0,40,8.279619223187792e-17,0.9999999999999999,6.166205285871555e-16,7-9,jìng,(bound form) respectful; to respect; to offer politely,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,0.0
灵,32,35,0.30145663761748875,326,0.022244685098074313,0.030861617608432212,0.9999999996784084,40,2.7455034888341273e-10,0.999999999403858,1.2555249051044936e-9,7-9,líng,quick; alert; efficacious; effective; to come true; spirit; departed soul; coffin,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,1.0
巧,32,35,0.30083968630349595,356,-0.0022910375703323327,-0.003276841556151243,1.0,356,3.5767123256050267e-25,1.0,3.988639335644678e-24,3,qiǎo,opportunely; coincidentally; as it happens; skillful; timely,Translation,生动 | 引人入胜 | 细腻 | 新颖 | 精妙 | 逼真 | 动人 | 流畅 | 扣人心弦 | 优美 | 酣畅 | 感人,0.5
魂,32,35,0.3000735522635298,242,0.004204204723799954,0.005970773618660532,1.0,333,1.1636109858104053e-19,1.0,8.711625879854305e-19,7-9,hún,old variant of 魂; soul; spirit; immortal soul (that can be detached from the body),Translation,弱 | 偏 | 少 | 差 | 淡 | 低 | 慢 | 略 | 高 | 暖 | 紧 | 强,0.75
君子,32,35,0.29679459774678146,22,-0.007986251381927156,-0.011356925524658338,0.9999999996097131,339,3.899356528590375e-10,0.9999999992197774,1.4768544097436174e-9,7-9,jūnzǐ,nobleman; person of noble character,Translation,儒学 | 儒家 | 佛教 | 道教 | 宗教 | 古代 | 哲学 | 文人 | 古典 | 文学 | 基督教 | 近代,1.0
辞,32,35,0.291798614135886,88,-0.02986898678714628,-0.04217583781017542,1.0,162,3.7363234091528865e-19,1.0,2.646081772501113e-18,7-9,cí,old variant of 辞; to resign; to dismiss; to decline; to take leave; ballad (archaic poetic genre); variant of 词,Translation,句子 | 词 | 词语 | 题目 | 句 | 段落 | 文字 | 成语 | 诗 | 音节 | 结尾 | 错别字,0.5
豁,32,35,0.2878356400446293,179,-0.03420108526651705,-0.04802414609551688,1.0,122,9.181776267408603e-16,0.9999999999999991,7.856472463637756e-15,7-9,huō,to play Chinese finger-guessing game; opening; stake all; sacrifice; crack; slit; open; clear; liberal-minded; generous; to exempt; to remit,Translation,黑 | 灰 | 白 | 锈 | 薄 | 粗 | 秃 | 厚 | 脏 | 瘦 | 硬 | 暗,0.25
遂心,32,35,0.28756141813085156,123,-0.0657380404838126,-0.09227187038543418,1.0,398,9.72806981367171e-23,1.0,9.367354677617792e-22,7-9,suìxīn,to one's liking,Translation,好说 | 不行 | 不要紧 | 没关系 | 没用 | 说不上 | 离谱儿 | 实话 | 碍事 | 没什么 | 难说 | 晓得,0.0
佛,32,35,0.28735527782589554,339,0.02303743758611826,0.03131438934665317,0.9999999109614532,339,6.435189631807727e-8,0.9999998466095569,2.6830335732991736e-7,6,fó,Buddha; Buddhism (abbr. for 陀); seemingly; (female) head ornament; variant of 佛,Translation,儒学 | 儒家 | 佛教 | 道教 | 宗教 | 古代 | 哲学 | 文人 | 古典 | 文学 | 基督教 | 近代,1.0
风流,32,35,0.2859831839318812,373,-0.07135757625808054,-0.09993822925771668,1.0,98,5.828822363121183e-18,1.0,4.683822004565717e-17,7-9,fēngliú,distinguished and accomplished; outstanding; talented in letters and unconventional in lifestyle; romantic; dissolute; loose,Translation,高傲 | 狡猾 | 冷酷 | 奸诈 | 暴躁 | 倔强 | 粗鲁 | 凶狠 | 冷漠 | 傲慢 | 冷酷无情 | 鲁莽,0.75
戒,32,35,0.2845216069644583,314,-0.04866777091155888,-0.0680213006923624,1.0,164,5.949083948831591e-16,0.9999999999999994,4.870863673989004e-15,5,jiè,to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger),Translation,贪玩儿 | 逞能 | 蠢 | 见钱眼开 | 小气 | 自以为是 | 爱面子 | 糊涂 | 随大溜 | 偷懒 | 傻 | 粗心,0.75
饶,32,35,0.28365560919399124,327,-0.018607589825576032,-0.025975759794306878,0.9999999956129386,147,4.387024534416547e-9,0.9999999912259141,1.482353880031269e-8,7-9,ráo,rich; abundant; exuberant; to add for free; to throw in as bonus; to spare; to forgive; despite; although; surname Rao,Translation,寄 | 赠 | 捐 | 缴 | 付 | 赐 | 交 | 征 | 献 | 赎 | 订 | 租,0.5
绝,32,35,0.28031669739030673,229,-0.025676669060620272,-0.035677733480146516,0.9999999984532764,38,1.4932283931452586e-9,0.9999999969600479,5.5346522047030665e-9,6,jué,to cut short; extinct; to disappear; to vanish; absolutely; by no means; variant of 绝,Translation,乃 | 若 | 皆 | 故 | 亦 | 虽 | 如 | 犹如 | 即 | 凡 | 如同 | 便是,1.0
功,32,35,0.28016861892752865,115,0.02038200894590564,0.02753531511419912,1.0,333,2.6667140968328543e-17,1.0,2.5715653326695883e-16,7-9,gōng,meritorious deed or service; achievement; result; service; accomplishment; work (physics),Translation,弱 | 偏 | 少 | 差 | 淡 | 低 | 慢 | 略 | 高 | 暖 | 紧 | 强,1.0
神,32,35,0.27673412052374885,326,-0.05737087978507788,-0.07932197745402109,0.9999999861919521,326,1.2792819493052275e-8,0.9999999733991326,4.480311422802533e-8,5,shén,God; abbr. for 舟; deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; (slang) awesome; amazing,Translation,怪物 | 妖怪 | 鬼 | 魔鬼 | 疯子 | 笨蛋 | 野兽 | 巫婆 | 猎人 | 小丑 | 傻瓜 | 外星人,1.0
渡,32,35,0.27128773064123884,51,-0.049932191528415215,-0.06852113464804652,0.9999999999727294,51,1.8858742444070814e-11,0.9999999999538707,1.1915279836685946e-10,6,dù,to cross; to pass through; to ferry,Translation,河 | 湖 | 沟 | 坝 | 桥 | 山 | 村 | 堤 | 街 | 寺 | 屯 | 泉,0.5
生,32,35,0.27031213964471484,33,-0.02299169927797501,-0.03150895132992949,0.9999999999155165,232,6.023337246386777e-11,0.9999999998552831,3.5127779146116325e-10,2; 3,shēng,to be born; to give birth; life; to grow; raw; uncooked; student,Translation,泥 | 粪 | 罐 | 砖 | 炭 | 筒 | 槽 | 缸 | 蜡 | 渣子 | 水 | 土,0.5
天下,32,35,0.26358440070391925,46,-0.0010088021196154595,-0.0013698815187779849,0.999999998026496,46,1.887403807454914e-9,0.9999999961390922,7.011394280880338e-9,6,tiānxià,land under heaven; the whole world; the whole of China; realm; rule,Translation,梦想 | 神话 | 幻想 | 童话 | 天堂 | 永恒 | 传奇 | 梦 | 传说 | 人间 | 奇迹 | 无边,1.0
迷,32,35,0.260747504604277,316,-0.09703508469039301,-0.13126108507547204,1.0,264,8.301781663866062e-19,1.0,5.938463793857896e-18,3,mí,to bewilder; crazy about; fan; enthusiast; lost; confused,Translation,流 | 泻 | 漫 | 涌 | 泄 | 溢 | 浮 | 浪 | 顺 | 腾 | 逆 | 射,0.25
之,32,35,0.2574794626437574,38,0.014454786162505284,0.01909545227354731,0.9999999957878458,46,3.5970080026033636e-9,0.9999999921908378,1.4647509004767337e-8,7-9,zhī,"(possessive particle, literary equivalent of 的); him; her; it",Translation,梦想 | 神话 | 幻想 | 童话 | 天堂 | 永恒 | 传奇 | 梦 | 传说 | 人间 | 奇迹 | 无边,1.0
独,32,35,0.2513909673875625,168,0.005322924536474427,0.007060218745208431,0.9999999998447038,40,1.4715984865935836e-10,0.9999999996975439,6.172532438138406e-10,7-9,dú,alone; independent; single; sole; only,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,1.0
多心,32,35,0.2484669282204304,168,-0.056945978681318316,-0.07577308413916485,0.9999999999905071,333,8.967423424586565e-12,0.9999999999815398,4.21696293509552e-11,7-9,duōxīn,oversensitive; suspicious,Translation,弱 | 偏 | 少 | 差 | 淡 | 低 | 慢 | 略 | 高 | 暖 | 紧 | 强,0.25
赖,32,35,0.24767951312399483,327,-0.044961026835871165,-0.059763129703633115,1.0,147,5.713074249547018e-15,0.9999999999999943,3.866489067112891e-14,6,lài,(Tw) (coll.) LINE messaging app; to depend on; to hang on in a place; bad; to renege (on promise); to disclaim; to rat (on debts); rascally; to blame; to put the blame on; variant of 赖; surname Lai,Translation,寄 | 赠 | 捐 | 缴 | 付 | 赐 | 交 | 征 | 献 | 赎 | 订 | 租,0.5
胆,32,35,0.23813624205139938,211,-0.1091807133838576,-0.14330739878982865,0.9999999469470154,211,5.3052909523587295e-8,0.9999998938941059,1.571896500542007e-7,5,dǎn,"gall bladder; courage; guts; gall; inner container (e.g. bladder of a football, inner container of a thermos)",Translation,肺 | 脾 | 胃 | 痰 | 肝 | 咽 | 肠 | 肾 | 气管 | 肿 | 胀 | 腺,0.75
顾,32,35,0.23547287283670545,168,-0.030471851103304276,-0.03985712216173036,0.9999999998426858,40,1.5321309096356123e-10,0.9999999996894727,6.229414732140308e-10,6,gù,to look after; to take into consideration; to attend to; surname Gu,Translation,利 | 德 | 融 | 信 | 保 | 盛 | 福 | 富 | 合 | 金 | 安 | 通,0.5
谱,32,35,0.21981256464387602,182,-0.08858277840247372,-0.113540380667678,0.9999999999757136,395,1.806779139576495e-11,0.9999999999576459,1.0685289619511767e-10,7-9,pǔ,chart; list; table; register; score (music); spectrum (physics); to set to music,Translation,五 | 八 | 四 | 六 | 条 | 七 | 张 | 三 | 次 | 十 | 九 | 枚,0.25
舅舅,33,38,0.6875611893048602,92,0.12991992938347796,0.2936981178678375,0.9999999969512032,92,3.0487974294184536e-9,0.9999999939024058,1.0486818357785327e-8,7-9,jiùjiu,mother's brother; maternal uncle (informal),Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.75
父亲,33,38,0.6726816340186452,92,0.1788257070575625,0.3533098905690686,0.9999999999992752,92,6.491130538132076e-13,0.9999999999986261,3.5745316459498223e-12,3,fùqīn,father; also pr. [fù qin],Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
姑姑,33,38,0.6670814773392617,92,0.0818624579192635,0.19736309462596996,0.9999969798985392,92,3.0201011892227333e-6,0.99999395979735,6.9108739349037535e-6,6,gūgu,paternal aunt,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
母亲,33,38,0.6641337344896333,92,0.14769063629825985,0.30542555745944083,0.9999999999862865,92,9.44024615607105e-12,0.9999999999768463,6.096791436440552e-11,3,mǔqīn,mother; also pr. [mǔ qin],Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
弟弟,33,38,0.6557004219599651,92,0.138668215217714,0.2871168992084529,0.9999999999999858,92,1.143086887218515e-14,0.9999999999999744,1.17912143549626e-13,1,dìdi|dì,younger brother,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
妹妹,33,38,0.6472244443229822,92,0.07330599050363296,0.17204685619628446,0.9999999927070746,92,7.292928113577431e-9,0.9999999854141465,2.4023485661108926e-8,1,mèimei|mèi,younger sister; young woman,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.75
爷爷,33,38,0.6438429236074522,92,0.09672637674685425,0.21357895961167056,0.9999999115784174,92,8.842133634711537e-8,0.999999823157081,2.544441438600423e-7,1,yéye,(coll.) father's father; paternal grandfather,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
哥哥,33,38,0.6429525977061442,92,0.0777246881143403,0.1787711075045471,0.999999988295258,92,1.170473659064842e-8,0.9999999765905214,3.76321293332713e-8,1,gēge|gē,older brother,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.75
伯父,33,38,0.6404047172419975,92,0.1697327027495566,0.32065696013938166,1.0,306,1.3516826250941032e-16,0.9999999999999999,9.745077098021897e-16,7-9,bófù,father's elder brother; term of respect for older man,Translation,后代 | 子孙 | 一生 | 后裔 | 生前 | 后人 | 晚年 | 辈 | 祖先 | 生平 | 早年 | 祖籍,1.0
儿子,33,38,0.6396811556290894,92,0.11047430759549437,0.23465572329178155,0.9999999999964899,92,3.5048100763737405e-12,0.9999999999929851,1.6019175403970766e-11,1,érzi,son,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
奶奶,33,38,0.6371326764853633,92,0.05799348204035315,0.13779729847705122,0.9999973146382746,92,2.685345047914996e-6,0.9999946292932267,6.197579226753243e-6,1,nǎinai,(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
祖母,33,38,0.629338010109057,92,0.17559168141883813,0.321447141943802,1.0,306,2.3407665839753024e-19,1.0,2.6955785622374167e-18,6,zǔmǔ,father's mother; paternal grandmother,Translation,后代 | 子孙 | 一生 | 后裔 | 生前 | 后人 | 晚年 | 辈 | 祖先 | 生平 | 早年 | 祖籍,1.0
姐姐,33,38,0.6283608374739443,92,0.032402531351632735,0.08019600908177965,0.9999564800163334,92,0.0000435199836284898,0.9999129600327049,0.00008020732572833416,1,jiějie|jiě,older sister,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
女儿,33,38,0.6256874012983806,92,0.09000883735351839,0.19385027346191686,0.9999999984081143,92,1.5918858140928881e-9,0.9999999968162284,5.6481862331659086e-9,1,nǚ'ér,daughter,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
孙女,33,38,0.6205956841007323,92,0.13377954865282127,0.2606854149040425,1.0,92,1.7029596369807408e-15,0.9999999999999983,1.3212895367312279e-14,4,sūnnǚ,son's daughter; granddaughter,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
姥姥,33,38,0.6201552817593644,92,0.0482654804104109,0.1127407862800115,0.9999780823730645,92,0.000021917626439525677,0.999956164746625,0.000042903450970309916,7-9,lǎolao,(coll.) mother's mother; maternal grandmother,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
姥爷,33,38,0.6131574153906904,92,0.06287394860031059,0.13980795447207633,0.9999960213429085,92,3.977729061059196e-6,0.9999920436138475,8.922728864941762e-6,7-9,lǎoye,maternal grandfather (dialectal),Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
外婆,33,38,0.6128543290900985,92,0.077154718592227,0.166174141432361,0.9999995563617421,92,4.436382604146047e-7,0.9999991127234816,1.1571949338578153e-6,7-9,wàipó,(coll.) mother's mother; maternal grandmother,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.5
外公,33,38,0.6057835039591727,92,0.11395516870996208,0.22424542062148717,0.9999999982544381,92,1.745439189886313e-9,0.9999999965089988,6.1667982875918434e-9,7-9,wàigōng,(coll.) mother's father; maternal grandfather,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.75
岳父,33,38,0.6056416948574509,92,0.16871613357408705,0.2996337996777589,1.0,193,8.15053992035977e-17,0.9999999999999999,7.871620043848941e-16,7-9,yuèfù,"wife's father, father-in-law",Translation,老太太 | 老汉 | 大妈 | 老人 | 师傅 | 邻居 | 老王 | 服务员 | 老板 | 小伙子 | 保姆 | 小贩,1.0
伯母,33,38,0.6010649634605615,92,0.07784305007645131,0.16326893425193129,0.9999999994757189,92,5.219732085744639e-10,0.9999999989537457,1.959865991553164e-9,7-9,bómǔ,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother),Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.25
岳母,33,38,0.5981122355500982,92,0.14210543138038062,0.2612264867825944,0.9999999999999574,193,4.12111380003196e-14,0.9999999999999162,2.264643970689149e-13,7-9,yuèmǔ,"wife's mother, mother-in-law",Translation,老太太 | 老汉 | 大妈 | 老人 | 师傅 | 邻居 | 老王 | 服务员 | 老板 | 小伙子 | 保姆 | 小贩,1.0
叔叔,33,38,0.586839215009181,92,0.045914798456091255,0.10001577106616272,0.9992214500823323,92,0.0007785435450683936,0.998442906537264,0.0010600501091467,4,shūshu,father's younger brother; uncle; Taiwan pr. [shú shu],Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.25
丈夫,33,38,0.5863716583377057,92,0.12000098754177163,0.22487704662102978,0.999999999998721,323,1.2044175286531693e-12,0.9999999999975167,6.0756290475228924e-12,4,zhàngfu,husband,Translation,子女 | 抚养 | 父母 | 赡养 | 收养 | 亲属 | 儿女 | 领养 | 家庭 | 配偶 | 孤儿 | 婚姻,1.0
妻子,33,38,0.5856411572170517,92,0.13482247912301037,0.24549720419314852,0.9999999999996732,323,3.2682604502579384e-13,0.9999999999993463,1.6247339561403155e-12,4,qīzi,wife and children; wife,Translation,子女 | 抚养 | 父母 | 赡养 | 收养 | 亲属 | 儿女 | 领养 | 家庭 | 配偶 | 孤儿 | 婚姻,1.0
继父,33,38,0.5847058270932735,92,0.14567501761621054,0.25968452470698405,1.0,92,2.509334927913e-19,1.0,1.8464925865145946e-18,7-9,jìfù,stepfather,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
祖父,33,38,0.5722096586011116,306,0.16214260949367698,0.27484921675989804,1.0,306,3.8879182973548074e-19,1.0,2.751712596113767e-18,6,zǔfù,father's father; paternal grandfather,Translation,后代 | 子孙 | 一生 | 后裔 | 生前 | 后人 | 晚年 | 辈 | 祖先 | 生平 | 早年 | 祖籍,1.0
孙子,33,38,0.5717079210322334,92,0.10811207921185634,0.20154966654015638,0.9999999999987352,92,1.2603236828163119e-12,0.9999999999974749,5.980658876838256e-12,4,sūnzi,"Sun Tzu, also known as Sun Wu 孙武 (c. 500 BC, dates of birth and death uncertain), general, strategist and philosopher of the Spring and Autumn Period (700-475 BC), believed to be the author of the “Art of War” 孙子兵法, one of the Seven Military Classics of ancient China 武经七书; grandson; son's son",Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,0.75
继母,33,38,0.5715579928277263,92,0.14063804793795798,0.24713227370218796,1.0,397,2.587230660480403e-18,1.0,3.45534305540216e-17,7-9,jìmǔ,stepmother,Translation,师父 | 小偷儿 | 阎王 | 仇人 | 徒弟 | 大人 | 恩人 | 皇上 | 小人 | 家伙 | 皇帝 | 祖宗,1.0
女婿,33,38,0.5644954168002713,92,0.13216040884762342,0.23281409052718055,1.0,397,8.741990968565123e-16,0.9999999999999991,5.333392808597408e-15,7-9,nǚxu,daughter's husband; son-in-law,Translation,师父 | 小偷儿 | 阎王 | 仇人 | 徒弟 | 大人 | 恩人 | 皇上 | 小人 | 家伙 | 皇帝 | 祖宗,1.0
弟,33,38,0.5442725249928633,92,0.11045072030975173,0.1950811974451485,1.0,92,4.523311023085611e-16,0.9999999999999996,2.6683339766507425e-15,1,dìdi|dì,younger brother,Translation,妈 | 爸 | 闺女 | 妈妈 | 爸爸 | 嫂子 | 爹 | 媳妇 | 老婆 | 姐 | 大姐 | 阿姨,1.0
亲戚,33,38,0.53862345314127,385,0.04684109694568728,0.09216739622623892,0.9999998998854146,385,1.0011457615444087e-7,0.9999997997708384,2.860162800557742e-7,7-9,qīnqi,a relative (i.e. family relation),Translation,朋友 | 亲朋好友 | 朋友们 | 亲友 | 同事 | 家人 | 同学 | 亲人 | 友人 | 老乡 | 战友 | 同伴,0.5
太太,33,38,0.5303458362134359,92,0.04070776510829005,0.07976254262624828,0.9999999998656222,253,8.474058529990287e-11,0.9999999997808816,5.471801753073674e-10,2,tàitai,married woman; Mrs.; Madam; wife,Translation,男人 | 女人 | 女生 | 男士 | 男生 | 女性 | 女 | 少女 | 美女 | 男 | 男性 | 帅哥,0.5
老伴儿,33,38,0.5279589791876136,92,0.05749524744288559,0.10857659973380525,0.9999987016351968,193,1.2506140360181526e-6,0.9999974510211608,3.1881190606230276e-6,7-9,lǎobànr,erhua variant of 伴,Translation,老太太 | 老汉 | 大妈 | 老人 | 师傅 | 邻居 | 老王 | 服务员 | 老板 | 小伙子 | 保姆 | 小贩,0.25
